Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Neformālās izglītības iestāde ""Borgs & Co""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Borgs & Co""";"Nē";"Nē";"4480800858";"Juridiska vai fiziska persona";"VARAKĻĀNU NOVADS"
"Neformālās izglītības centrs ""MDO Training""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"MDO line SIA";"Nē";"Nē";"3380801077";"Juridiska vai fiziska persona";"RĪGA"
"Neformālās izglītības centrs ""LEO Riga""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""KDS Concept""";"Nē";"Nē";"3380801047";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Latvijas Bībeles Centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"FONDS ""LATVIJAS BĪBELES CENTRS""";"Nē";"Nē";"3380802001";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Biedrība ""Pieaugušo izglītības iestāde ""Profesionālās pilnveides mācību centrs""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Atbalsta risinājumi izglītībai Latvijā""";"Nē";"Nē";"3380802005";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Alpīnisma skola""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Traverss""";"Nē";"Nē";"3380802006";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo izglītības iestāde ""Latvijas Logopēdu asociācijas Mācību centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Latvijas Logopēdu asociācija";"Nē";"Nē";"3380801062";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo izglītības iestāde ""Radošuma pils""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""DOMĀTS-DARĪTS""";"Nē";"Nē";"3380802025";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Mācību centrs - Komandors""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""KOMANDORS""";"Nē";"Nē";"2880801067";"Juridiska vai fiziska persona";"JELGAVA"
"Neformālās izglītības iestāde ""Mācību centrs MAXIMUS""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""NEOMAX""";"Nē";"Nē";"3180801071";"Juridiska vai fiziska persona";"-Nav norādīts-"
