Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Ventspils pirmsskolas izglītības iestāde ""Bitīte""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Ventspils valstspilsētas pašvaldība";"Nē";"Nē";"3201902822";"Pašvaldība ";"-Nav norādīts-"
"Ķekavas novada pirmsskolas izglītības iestāde ""Bitīte""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Ķekavas novada pašvaldība";"Nē";"Nē";"4301902814";"Pašvaldība ";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""BeBelv""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""BeBelv""";"Nē";"Nē";"3801802827";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Rīgas Privātā pirmsskolas izglītības iestāde ""Balu""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""ELKIRA""";"Nē";"Nē";"3601802829";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde BONA FAVOLA";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Bērnu kultūras un izglītības centrs ""BONA FAVOLA""";"Nē";"Nē";"3501802831";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Iecavas pirmsskolas izglītības iestāde ""Dartija""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Bauskas novada pašvaldība";"Nē";"Nē";"4501901009";"Pašvaldība ";"IECAVAS NOVADS"
"Pirmsskolas izglītības iestāde ""Mīlulis""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Mīlulis""";"Nē";"Nē";"4301802835";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Briģu pagasta pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Ludzas novada pašvaldība";"Nē";"Nē";"4201900465";"Pašvaldība ";"-Nav norādīts-"
"Silmalas pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Rēzeknes novada pašvaldība";"Nē";"Nē";"4201902751";"Pašvaldība ";"RĒZEKNES NOVADS"
"Privātā pirmsskolas izglītības iestāde ""Ķenguriņš""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""I.P.Plus""";"Nē";"Nē";"3601802839";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Zīle""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"SIA ""Zīle""";"Nē";"Nē";"3401802843";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Privātā pirmsskolas izglītības iestāde ""Bizbizmārīte""";"Pirmsskolas izglītības iestāde";"Pirmsskolas izglītības iestāde";"""5tā diena"" , SIA";"Nē";"Nē";"3801802838";"Juridiska vai fiziska persona";"-Nav norādīts-"
