Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Rīgas 15. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900677";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 49. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900751";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 41. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3513900768";"Pašvaldība ";"RĪGA"
"Ziemeļvalstu ģimnāzija";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3813900700";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Imantas vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3513900773";"Pašvaldība ";"-Nav norādīts-"
"Rīgas Ukraiņu vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900788";"Pašvaldība ";"RĪGA"
"Rīgas 40. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3413900797";"Pašvaldība ";"-Nav norādīts-"
"Pamatskola ""Rīdze""";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3412900804";"Pašvaldība ";"RĪGA"
"Jaunciema pamatskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā pamatskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3912900813";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 21. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900750";"Pašvaldība ";"RĪGA"
"Rīgas 89. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3713900752";"Pašvaldība ";"RĪGA"
"Rīgas 51. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900685";"Pašvaldība ";"-Nav norādīts-"
"Āgenskalna Valsts ģimnāzija";"Vispārējās izglītības iestāde";"Valsts ģimnāzija";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3819900703";"Pašvaldība ";"-Nav norādīts-"
"Rīgas 93. vidusskola";"Vispārējās izglītības iestāde";"Vispārizglītojošā vidusskola";"Rīgas valstspilsētas pašvaldība";"Nē";"Jā";"3613900669";"Pašvaldība ";"-Nav norādīts-"
