Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Limbažu Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Limbažu novada pašvaldība";"Nē";"Nē";"4451901691";"Pašvaldība ";"-Nav norādīts-"
"Bauskas Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Bauskas novada pašvaldība";"Nē";"Nē";"4551902433";"Pašvaldība ";"BAUSKA"
"Bērnu attīstības centrs ""Rūķu skola""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Rūķu skola""";"Nē";"Nē";"3351802553";"Juridiska vai fiziska persona";"RĪGA"
"Stila, modes, skaistuma izkopšanas studija ""TERRI""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""TERRI""";"Nē";"Nē";"3351802735";"Juridiska vai fiziska persona";"RĪGA"
"Bērnu un jauniešu interešu izglītības iestāde ""Rudaga""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""RUDAGA""";"Nē";"Nē";"2951802637";"Juridiska vai fiziska persona";"JŪRMALA"
"Bērnu attīstības centrs ""LUČIKI""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"SIA ""CHADO-NL""";"Nē";"Nē";"3351802739";"Juridiska vai fiziska persona";"RĪGA"
"Integratīvs bērnu izglītības un attīstības centrs ""Montessori bērnu māja""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"""Montessori bērnu māja""";"Nē";"Nē";"3351802750";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Bērnu Radošas Attīstības Centrs ""Zelta Rasa 2""";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""ESKS""";"Nē";"Nē";"4351802615";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Rīgas Jauno tehniķu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Rīgas valstspilsētas pašvaldība";"Nē";"Nē";"3351902617";"Pašvaldība ";"-Nav norādīts-"
"Kuldīgas novada Bērnu un jauniešu centrs";"Bērnu un jauniešu interešu izglītības iestāde";"Bērnu un jauniešu interešu izglītības iestāde";"Kuldīgas novada pašvaldība";"Nē";"Nē";"4151902678";"Pašvaldība ";"-Nav norādīts-"
