Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Profesionālās tālākizglītības centrs ""Kompetenču centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""DKC""";"Nē";"Jā";"3361802420";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Mācību Alianse""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Mācību Alianse""";"Nē";"Jā";"3361802422";"Juridiska vai fiziska persona";"-Nav norādīts-"
"SIA ""DIJA"" profesionālās tālākizglītības centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""DIJA""";"Nē";"Jā";"3361802423";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Mācību centrs TPA""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA TPA";"Nē";"Nē";"3361802374";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Baltijas Datoru Akadēmija""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""BALTIJAS DATORU AKADĒMIJA""";"Nē";"Jā";"3361802436";"Juridiska vai fiziska persona";"RĪGA"
"""Komplekss Citadele"" SIA Profesionālo Studiju Skola ""Citadele""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"""Komplekss Citadele"" SIA";"Nē";"Jā";"3361802439";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Ieslodzījuma vietu pārvaldes Mācību centrs";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3361602440";"Tieslietu ministrija";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""SPA SCHOOL""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""SPA SCHOOL""";"Nē";"Jā";"3361802444";"Juridiska vai fiziska persona";"RĪGA"
"Jelgavas valstspilsētas pašvaldības profesionālās tālākizglītības iestāde ""Zemgales reģiona kompetenču attīstības centrs""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Jelgavas valstspilsētas pašvaldība";"Nē";"Jā";"2861902455";"Pašvaldība ";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Dauseb""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Dauseb""";"Nē";"Nē";"2761802458";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Soneil Studio""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Soneil Studio""";"Nē";"Nē";"3361802459";"Juridiska vai fiziska persona";"-Nav norādīts-"
"SIA Komercinformācijas firma ""Biznesa Komplekss""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību Komercinformācijas firma ""Biznesa Komplekss""";"Nē";"Jā";"3361802465";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""PURE Academy""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""PURE Academy""";"Nē";"Jā";"3061802386";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Credo""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""AUTOSKOLA CREDO AUTOPRIEKS""";"Nē";"Jā";"3361802472";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Eiropas prasmju mācību centrs EUSTI""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Eiropas prasmju mācību centrs EUSTI""";"Nē";"Jā";"3361802479";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""ATBALSTS""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Nodibinājums ""Mācību centrs ATBALSTS""";"Nē";"Jā";"3361802366";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Kompetenču pilnveides un supervīzijas centrs ""AudemioTraining""""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Audemio""";"Nē";"Nē";"3361802371";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Burda Rīga""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""BURDAS SALONS""";"Nē";"Jā";"3361802487";"Juridiska vai fiziska persona";"RĪGA"
"Profesionālās tālākizglītības centrs ""Valodu skola BORN""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA BORN";"Nē";"Jā";"3361802502";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Profesionālās tālākizglītības centrs ""Kodeleks""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""CODELEX""";"Nē";"Jā";"4361802505";"Juridiska vai fiziska persona";"ĀDAŽU NOVADS"
"Profesionālās tālākizglītības centrs ""Skola-studija ""Create in Riga""""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"Sabiedrība ar ierobežotu atbildību ""Skola-studija ""Create in Riga""""";"Nē";"Jā";"3361802531";"Juridiska vai fiziska persona";"-Nav norādīts-"
"""Mācību centrs Liepa""";"Profesionālās tālākizglītības un pilnveides izglītības iestāde";"Profesionālās tālākizglītības centrs";"SIA ""Mācību centrs LIEPA""";"Nē";"Jā";"3361802395";"Juridiska vai fiziska persona";"-Nav norādīts-"
