Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Biznesa, mākslas un tehnoloģiju augstskola ""RISEBA""";"Augstākās izglītības iestāde";"Lietišķo zinātņu universitāte";"Afrograde Limited";"Nē";"Jā";"3393802029";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Juridiskās koledžas Valmieras filiāle";"Augstākās izglītības iestāde";"Koledžas filiāle";"SIA ""Juridiskā koledža""";"Nē";"Jā";"2598802643";"Juridiska vai fiziska persona";"VALMIERA"
"Jāzepa Vītola Latvijas Mūzikas akadēmija";"Augstākās izglītības iestāde";"Mākslu un kultūras universitāte";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3392301472";"Kultūras ministrija";"RĪGA"
"Rīgas Stradiņa universitāte";"Augstākās izglītības iestāde";"Zinātnes universitāte";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3391702042";"Veselības ministrija";"-Nav norādīts-"
"Biznesa augstskolas Turība Liepājas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"SIA ""Biznesa augstskola Turība""";"Nē";"Jā";"3095802384";"Juridiska vai fiziska persona";"-Nav norādīts-"
"EIROPAS KRISTĪGĀ AKADĒMIJA";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Skaidrīte Alma Gūtmane";"Nē";"Jā";"2994801398";"Juridiska vai fiziska persona";"-Nav norādīts-"
"NODIBINĀJUMS LATERĀNA PONTIFIKĀLĀS UNIVERSITĀTES FILIĀLE RĪGAS AUGSTĀKAIS RELIĢIJAS ZINĀTŅU INSTITŪTS";"Augstākās izglītības iestāde";"Ārvalstu augstskolas filiāle";"Latvijas katoļu Bīskapu konference";"Nē";"Jā";"3396801788";"Juridiska vai fiziska persona";"RĪGA"
"Laterāna Pontifikālās Universitātes Rīgas Teoloģijas institūts";"Augstākās izglītības iestāde";"Ārvalstu augstskolas filiāle";"Rīgas Metropolijas Romas katoļu arhibīskaps Jānis Pujāts";"Nē";"Jā";"3396801789";"Juridiska vai fiziska persona";"RĪGA"
"Daugavpils Universitātes Limbažu filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Daugavpils Universitāte";"Nē";"Jā";"4495002380";"Izglītības un zinātnes ministrija";"LIMBAŽI"
"Nodibinājums ""Lutera Akadēmija""";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Latvijas evaņģēliski luteriskā Baznīca";"Nē";"Jā";"3394802695";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Banku augstskola";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3394000077";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Daugavpils Universitātes Jelgavas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Daugavpils Universitāte";"Nē";"Jā";"2895002430";"Izglītības un zinātnes ministrija";"JELGAVA"
"Sabiedrība ar ierobežotu atbildību ""Rīgas Menedžmenta Koledža""";"Augstākās izglītības iestāde";"Koledža";"Marjana Skarbovska";"Nē";"Jā";"3397802535";"Juridiska vai fiziska persona";"RĪGA"
"Sociālās integrācijas valsts aģentūra";"Augstākās izglītības iestāde";"Koledža";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"2997202532";"Labklājības ministrija";"-Nav norādīts-"
"Valsts policijas koledža";"Augstākās izglītības iestāde";"Koledža";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3397502629";"Iekšlietu ministrija";"-Nav norādīts-"
"Latvijas Universitātes P.Stradiņa medicīnas koledžas Rēzeknes filiāle";"Augstākās izglītības iestāde";"Koledžas filiāle";"Latvijas Universitātes aģentūra ""Latvijas Universitātes P. Stradiņa medicīnas koledža""";"Nē";"Jā";"3198002641";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Juridiskās koledžas Gulbenes filiāle";"Augstākās izglītības iestāde";"Koledžas filiāle";"SIA ""Juridiskā koledža""";"Nē";"Jā";"4498802642";"Juridiska vai fiziska persona";"GULBENE"
"Latvijas Universitātes aģentūra ""Latvijas Universitātes Rīgas 1. medicīnas koledža""";"Augstākās izglītības iestāde";"Koledža";"Latvijas Universitāte";"Nē";"Jā";"3397002593";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rīgas Tehniskā koledža";"Augstākās izglītības iestāde";"Koledža";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3397002057";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rīgas Tehniskās universitātes aģentūra ""Rīgas Tehniskās universitātes Olaines Tehnoloģiju koledža""";"Augstākās izglītības iestāde";"Koledža";"Rīgas Tehniskā universitāte";"Nē";"Jā";"4397002316";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Latvijas Nacionālās aizsardzības akadēmija";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3394400217";"Aizsardzības ministrija";"RĪGA"
"Ventspils Augstskola";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3294001570";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Latvijas Kultūras akadēmija";"Augstākās izglītības iestāde";"Mākslu un kultūras universitāte";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"3392301524";"Kultūras ministrija";"-Nav norādīts-"
"Sabiedrības ar ierobežotu atbildību ""BALTIJAS STARPTAUTISKĀ AKADĒMIJA"" Liepājas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Sabiedrība ar ierobežotu atbildību ""BALTIJAS STARPTAUTISKĀ AKADĒMIJA""";"Nē";"Jā";"3095801786";"Juridiska vai fiziska persona";"LIEPĀJA"
"Latvijas Mākslas akadēmijas Latgales filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Mākslas akadēmija";"Nē";"Jā";"3195302375";"Kultūras ministrija";"RĒZEKNE"
"Rīgas Stradiņa universitātes Liepājas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Rīgas Stradiņa universitāte";"Nē";"Jā";"3095702834";"Veselības ministrija";"-Nav norādīts-"
"Informācijas sistēmu menedžmenta augstskolas Ventspils filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Sabiedrība ar ierobežotu atbildību ""Informācijas sistēmu menedžmenta augstskola""";"Nē";"Jā";"3295802255";"Juridiska vai fiziska persona";"VENTSPILS"
"""HOTEL SCHOOL"" Viesnīcu biznesa koledža";"Augstākās izglītības iestāde";"Koledža";"Jūlija Pasnaka";"Nē";"Jā";"3397802926";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Rīgas Ekonomikas augstskola - STOCKHOLM SCHOOL OF ECONOMICS IN RIGA";"Augstākās izglītības iestāde";"Lietišķo zinātņu augstskola";"Rīgas Ekonomikas augstskolas-Stockholm School of Economics in Riga nodibinājums";"Nē";"Jā";"3394802920";"Juridiska vai fiziska persona";"RĪGA"
"Latvijas Universitātes Kuldīgas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Universitāte";"Nē";"Jā";"4195003186";"Izglītības un zinātnes ministrija";"KULDĪGA"
"Latvijas Universitātes Madonas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Universitāte";"Nē";"Jā";"4495003187";"Izglītības un zinātnes ministrija";"MADONA"
"Latvijas Universitātes Alūksnes filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Universitāte";"Nē";"Jā";"4495003182";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
"Rēzeknes Tehnoloģiju akadēmijas Līvānu filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Republikas Ministru kabinets";"Nē";"Jā";"4295003118";"Izglītības un zinātnes ministrija";"LĪVĀNI"
"Latvijas Universitātes Jēkabpils filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Universitāte";"Nē";"Jā";"1095003185";"Izglītības un zinātnes ministrija";"JĒKABPILS"
"Latvijas Universitātes Bauskas filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Universitāte";"Nē";"Jā";"4595003183";"Izglītības un zinātnes ministrija";"BAUSKA"
"Latvijas Universitātes Cēsu filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Universitāte";"Nē";"Jā";"4495003184";"Izglītības un zinātnes ministrija";"CĒSIS"
"Latvijas Universitātes Tukuma filiāle";"Augstākās izglītības iestāde";"Latvijas augstskolas filiāle";"Latvijas Universitāte";"Nē";"Jā";"4195803188";"Izglītības un zinātnes ministrija";"-Nav norādīts-"
